step,model,assigned_layer,server_id,datarate,sinr,ping_ms,speed,rsrp_dbm,rssi_dbm,jitter,cpu_demand,memory_demand,latency_ms,processing_latency_ms,base_latency_ms,distance,energy_consumption,cost,degraded
0,gradient_boosting,Cloud,7,25400000.0,9.561926855521481,50521.14909341779,9.097194715425545,-118.44427728107037,-85.83472977119062,0.00029226105305592704,25,909,199.72095951813145,0.125,199.59595951813145,149.59595951813145,0.0,0.001388888888888889,False
1,gradient_boosting,Cloud,7,20600000.0,9.734869277478493,47711.79328334531,8.448339969563351,-119.19389035112478,-87.13508896543426,0.0005970419498575695,20,844,200.22625329825976,0.1,200.12625329825977,150.12625329825977,0.25,0.001388888888888889,False
2,gradient_boosting,Cloud,7,27800000.0,9.674622227982518,51958.02593071944,8.637768869087664,-117.42831598293074,-85.72929443717304,0.0015906642949295934,27,863,200.52247843451804,0.135,200.38747843451804,150.38747843451804,0.45,0.001388888888888889,False
3,gradient_boosting,Cloud,7,29300000.0,9.5121812825575,49436.83192614761,8.859935001903242,-119.44909090088574,-84.7744904803048,-0.00037098799730001067,29,885,198.29787884764784,0.145,198.15287884764783,148.15287884764783,0.7200000000000001,0.001388888888888889,False
4,gradient_boosting,Cloud,7,22700000.0,9.740237354010146,51681.36371395298,8.385300101034554,-118.5845997099465,-84.96398715203578,0.000629861729371423,22,838,198.85742017638978,0.11,198.74742017638977,148.74742017638977,1.01,0.001388888888888889,False
5,gradient_boosting,Cloud,7,28200000.0,10.299633940698548,51136.717998034386,8.967619563100893,-118.67712566606838,-85.64613272172289,0.0010503364020578842,28,896,200.61862056226056,0.13999999999999999,200.47862056226057,150.47862056226057,1.23,0.001388888888888889,False
6,gradient_boosting,Cloud,7,22500000.0,8.62963813439436,50362.631614587095,9.400239493820463,-119.54608368259605,-86.06291295732699,0.0010659520721751719,22,940,200.88710686516157,0.11,200.77710686516156,150.77710686516156,1.51,0.001388888888888889,False
7,gradient_boosting,Cloud,7,22200000.0,9.14101182296594,49342.57305168141,9.18591327706506,-121.47790769296888,-86.29694431930348,-0.0002596358529584292,22,918,199.9389222945608,0.11,199.82892229456078,149.82892229456078,1.73,0.001388888888888889,False
8,gradient_boosting,Cloud,7,21000000.0,8.899041551787791,46931.122913285166,10.070660580243226,-118.86644452865993,-85.71630029471883,0.0024418297229704396,21,1007,199.93259855527361,0.10500000000000001,199.82759855527362,149.82759855527362,1.95,0.001388888888888889,False
9,gradient_boosting,Edge,1,22500000.0,8.437841579399693,50906.052820327,9.991151703445802,-120.61047052376985,-86.18504049995263,0.0017146199908430605,22,999,7.1811333137054385,1.375,5.8061333137054385,8.061333137054385,0.0,0.0001388888888888889,False
10,gradient_boosting,Cloud,7,36300000.0,8.359064318029873,50942.1571109182,9.948913658967804,-120.35459997872574,-85.38499060561367,0.00011822799971773665,36,994,200.60422243208808,0.18000000000000002,200.42422243208807,150.42422243208807,2.16,0.001388888888888889,False
11,gradient_boosting,Cloud,7,36400000.0,9.88302984245553,53422.03144579342,10.087261558813568,-119.35184310979662,-86.78520274447581,-0.0007005767023852109,36,1008,199.2398670250702,0.18000000000000002,199.0598670250702,149.0598670250702,2.52,0.001388888888888889,False
12,gradient_boosting,Cloud,7,26700000.0,9.060702188408653,49483.5830902495,9.875279575152994,-118.98723157999926,-86.02133274288427,0.000164621370482965,26,987,198.78265466243187,0.12999999999999998,198.65265466243187,148.65265466243187,2.8800000000000003,0.001388888888888889,False
13,gradient_boosting,Cloud,7,29900000.0,8.682544259864548,48730.07436462074,9.663516578867467,-121.4206533302818,-86.79148336228832,0.001224406028183714,29,966,200.97223784129721,0.145,200.8272378412972,150.8272378412972,3.14,0.001388888888888889,False
14,gradient_boosting,Cloud,7,32900000.0,10.13826190140171,48116.98500573611,10.092974359496523,-120.59409282904035,-86.33474934527212,-0.0002564655217299703,32,1009,200.67223028493245,0.16,200.51223028493246,150.51223028493246,3.4299999999999997,0.001388888888888889,False
15,gradient_boosting,Cloud,7,30800000.0,9.198619668189643,44031.33333165058,10.139736874497336,-119.74952017633282,-85.89728260645423,0.0011068195731580236,30,1013,200.05370665401986,0.15,199.90370665401986,149.90370665401986,3.75,0.001388888888888889,False
16,gradient_boosting,Cloud,7,31600000.0,9.256185960469647,47932.76922316835,9.925143026200486,-120.43703122073767,-86.126941474961,0.0004036557386555274,31,992,199.33186790844647,0.155,199.17686790844647,149.17686790844647,4.05,0.001388888888888889,False
